Source;Target;Type;Weight
shanmacmua;garnierusa;Directed;1
skinwellnesscenter;skinceuticals;Directed;8
jennifergarneronline;instasave;Directed;1
shimmerinyoureye;clinique;Directed;1
dhazzler;pixibeauty;Directed;1
monicabulandayhmua;christopherobinparis;Directed;4
mrsamandasking;vitalp;Directed;1
flordemariafashion;neutrogena;Directed;1
born_a_hustler28;wunder2cosmetics;Directed;2
jenbr2;elfcosmetics;Directed;1
chic_by_chica;garnierusa;Directed;1
rainababy1013;karigranskin;Directed;1
dove;stylemesunday;Directed;2
ireeeeezy;influenster;Directed;1
makeupbymandyx;tartecosmetics;Directed;1
canallevyrroni;mpwnewyork_usa;Directed;1
adveket;isominnis;Directed;1
neutrogena;rasheedasfia;Directed;1
akisinabirak;neutrogena;Directed;1
sixculent;dermalogica;Directed;1
glowyogasf;dermalogica;Directed;1
phoebesphinds;mariobadescu;Directed;1
dermalogica;tobebright;Directed;1
darlingnikky84;bathandbodyworks;Directed;1
asmabeautyqueen;cetaphilus;Directed;1
cravebeautyacademy;dermalogica;Directed;1
makeupbysamiee;muradskincare;Directed;1
julesd0823;arconalosangeles;Directed;1
beautybyzombodytolove;vaselinebrand;Directed;1
abandoned.ardour;olay;Directed;1
neutrogena;makeupartist_yulia;Directed;1
cushcenter;larocheposayusa;Directed;1
infinitelymakeup;tartecosmetics;Directed;3
watsupmakeup;biodermausa;Directed;1
arabianqueen72;farsalic;Directed;1
marmarcea;paulaschoice;Directed;1
jflores111;larocheposayusa;Directed;1
paratodos;eizagonzalez;Directed;2
beauty.by.bell;tartecosmetics;Directed;1
bacteriaofinstagram;soonhee_moon;Directed;1
beautiquewl;drmikeschwartz;Directed;1
ijustloveproducts;kyliecosmetics;Directed;1
neutrogena;windowtoesha;Directed;1
erinkieley;skinceuticals;Directed;4
makeuppemmie;neutrogena;Directed;1
aveenous;meghanmanary;Directed;1
lulutetseo;get_repost;Directed;3
theglowfile;stratiaskin;Directed;1
concreteblondehairbody;schwarzkopfpro;Directed;1
xxfidelxx;mikesam_styling;Directed;1
agajakubowski.makeup;muradskincare;Directed;5
lovinglatch;dove;Directed;1
dina_nikocevic;marcbeauty;Directed;1
marianaaa_21;covergirl;Directed;1
neutrogena;al;Directed;1
makeupbyalyssaa_;anastasiabeverlyhills;Directed;2
makeupbyshannanx;farahdhukai;Directed;1
perryria;indie_lee;Directed;2
julianacoral16;dove;Directed;3
ladylaleebella;beblogalicious;Directed;1
bridgewaterbluemercury;freshbeauty;Directed;1
carina_cosmo;benebabeuniversity;Directed;1
alyssa_theartofskin;claire;Directed;1
myskincare_beautyjourney;maylindstromskin;Directed;1
kaniasafitrii;beautyjournal;Directed;1
shopallthethings;essence_cosmetics;Directed;1
goldenbergderm;realself;Directed;1
drshasahu;nutrafol;Directed;1
angela_lange;dove;Directed;1
emmaisfalse97;birchbox;Directed;1
beauty_and_yankeecandles;dove;Directed;1
pricelinepharmacyrochedale;alpha_keri;Directed;1
monica_bulanday;victoriassecret;Directed;2
schweigerderm;promiseorganic;Directed;1
raaraa274;larocheposaynordic;Directed;1
skincareguru.us;cosrx;Directed;1
poojasol;dove;Directed;1
futureblind;makeuprevolutionusa;Directed;1
missnicolelynn1;eltamdskincare;Directed;1
drrobertanolik;nylaning;Directed;1
alladinamedical;whiteorchidrejuvenationcentre;Directed;1
mahashasimonebeauty;larocheposayusa;Directed;1
makeup_ab;raquelhightower;Directed;1
beauty.n.thebeat;marcjacobsbeauty;Directed;1
indianbrownskin;yslbeauty;Directed;1
vikiz15;neutrogena;Directed;1
orenda.rain;vichyusa;Directed;1
hinudaa.jaber;maccosmetics;Directed;4
simplyblessedcakes;dove;Directed;3
sonomaskinwrks;aveneusa;Directed;1
makeupbymilo;josiemarancosmetics;Directed;1
justintymeart;bea;Directed;1
izzoray;lancomeofficial;Directed;1
3thanfrank;cgcosmetic;Directed;1
priceline_underwood;schollaustralia;Directed;1
elwa__;sallybeauty;Directed;1
arwamoiz10;vaselinebrand;Directed;1
hypnaughty.makeup;paintedearthskincare;Directed;2
brandikirchgessner;supersmileusa;Directed;1
all_things_beauty_by_jenna;chihaircare;Directed;1
gaby.gaby91;superdrugloves;Directed;2
leonnista;neutrogenafrance;Directed;2
vanilla_bones;vaselinebeautyshop;Directed;1
marzdoats79;mybkr;Directed;1
prettyconnected;neutrogena;Directed;1
guapologa;ydelais;Directed;1
neutrogena;houzeofboom;Directed;1
